Food_items,Calories,Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Carbohydrate (g),Sugars (g),Fiber(g),Protein (g),Category
Egg and Cheese Breakfast Sandwich (Double Egg),620 ,39 ,16 ,0 ,445 ,1310 ,28 ,0 ,8 ,36 ,Fastfood
Egg McMuffin,283 ,12 ,7 ,0 ,233 ,519 ,28 ,2 ,0 ,14 ,Fastfood
"EGGPLANT,RAW",25 ,0 ,0 ,0 ,0 ,2 ,6 ,4 ,3 ,1 ,Meat
English Breakfast,16 ,0 ,0 ,0 ,5 ,23 ,0 ,2 ,0 ,1 ,Fastfood
English Breakfast (L),16 ,0 ,0 ,0 ,5 ,23 ,0 ,2 ,0 ,1 ,Fastfood
English Breakfast (R),12 ,0 ,0 ,0 ,3 ,16 ,0 ,2 ,0 ,1 ,Fastfood
English Breakfast (S),10 ,0 ,0 ,0 ,3 ,14 ,0 ,1 ,0 ,1 ,Fastfood
Espresso,13 ,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,1 ,Fastfood
Espresso Machiato,45 ,2 ,1 ,0 ,6 ,26 ,5 ,3 ,0 ,2 ,Fastfood
Fanta Float,152 ,2 ,1 ,0 ,5 ,67 ,32 ,31 ,0 ,2 ,Fastfood
Fanta Grape Large,270 ,0 ,0 ,0 ,0 ,55 ,73 ,0 ,73 ,0 ,Fastfood
Fanta Grape Small,180 ,0 ,0 ,0 ,0 ,35 ,49 ,0 ,49 ,0 ,Fastfood
Fanta Orange Large,240 ,0 ,0 ,0 ,0 ,90 ,67 ,0 ,66 ,0 ,Fastfood
Fanta Orange Small,160 ,0 ,0 ,0 ,0 ,60 ,45 ,0 ,44 ,0 ,Fastfood
Fifty-Fifty Large,140 ,0 ,0 ,0 ,0 ,15 ,36 ,0 ,33 ,0 ,Fastfood
Fifty-Fifty Small,80 ,0 ,0 ,0 ,0 ,10 ,22 ,0 ,20 ,0 ,Fastfood
FILLET-O-FISH Burger,348 ,14 ,6 ,0 ,33 ,531 ,39 ,6 ,7 ,15 ,Fastfood
Flat White (L),251 ,14 ,10 ,0 ,43 ,181 ,22 ,17 ,0 ,12 ,Fastfood
Flat White (R),216 ,12 ,9 ,0 ,36 ,155 ,19 ,14 ,0 ,10 ,Fastfood
Flat White (S),167 ,10 ,7 ,0 ,29 ,124 ,14 ,11 ,0 ,8 ,Fastfood
Fresh Brewed Iced Tea Large,5 ,0 ,0 ,0 ,0 ,15 ,2 ,0 ,0 ,0 ,Fastfood
Fresh Brewed Iced Tea Small,5 ,0 ,0 ,0 ,0 ,10 ,1 ,0 ,0 ,0 ,Fastfood
Fresh Brewed Sweetened Iced Tea Large,170 ,0 ,0 ,0 ,0 ,15 ,45 ,0 ,44 ,0 ,Fastfood
Fresh Brewed Sweetened Iced Tea Small,110 ,0 ,0 ,0 ,0 ,10 ,28 ,0 ,2 ,0 ,Beverages
Fresh Brewed Sweetened Iced Tea Small,110 ,0 ,0 ,0 ,0 ,10 ,28 ,0 ,27 ,0 ,Fastfood
fried noodles,382 ,3 ,1 ,0 ,95 ,72 ,70 ,0 ,7 ,15 ,Fastfood
fruit flavor yogurt,172 ,2 ,2 ,0 ,10 ,132 ,28 ,11 ,2 ,10 ,Dairy products
Garden Dog,180 ,3 ,0 ,0 ,10 ,1060 ,27 ,1 ,7 ,8 ,Fastfood
Genoa Salami,430 ,23 ,8 ,0 ,60 ,1180 ,40 ,2 ,5 ,18 ,Fastfood
Ghee Rice with Mc Spicy Fried Chicken 1 pc,720 ,29 ,5 ,0 ,31 ,2399 ,77 ,3 ,0 ,27 ,Fastfood
Gluten Free Bun,160 ,3 ,0 ,0 ,0 ,350 ,31 ,2 ,5 ,3 ,Fastfood
Golden State Double,840 ,56 ,22 ,2 ,190 ,2130 ,27 ,0 ,5 ,54 ,Fastfood
Golden State Single,560 ,37 ,13 ,1 ,100 ,1310 ,26 ,0 ,5 ,31 ,Fastfood
Green Apple Ice Tea,95 ,0 ,0 ,0 ,2 ,10 ,24 ,21 ,0 ,0 ,Fastfood
"Green Chile CheddarShack, Double",750 ,46 ,22 ,2 ,185 ,2190 ,28 ,1 ,6 ,53 ,Fastfood
"Green Chile CheddarShack, Single",470 ,26 ,12 ,1 ,100 ,1380 ,28 ,1 ,6 ,30 ,Fastfood
Green Chilli Aloo Naan,356 ,15 ,6 ,0 ,9 ,580 ,46 ,5 ,0 ,8 ,Fastfood
Green Chilli Kebab naan,231 ,9 ,3 ,0 ,9 ,411 ,31 ,4 ,0 ,6 ,Fastfood
Green Chilli Kebab naan,231 ,9 ,3 ,0 ,9 ,411 ,31 ,4 ,0 ,6 ,Fastfood
Green Peppers,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,Fastfood
Grilled Cheese,320 ,18 ,10 ,1 ,45 ,850 ,25 ,0 ,5 ,14 ,Dairy products
Grilled Cheese,320 ,18 ,10 ,1 ,45 ,850 ,25 ,0 ,5 ,14 ,Fastfood
Guacamole,60 ,5 ,1 ,0 ,0 ,95 ,4 ,2 ,0 ,1 ,Fastfood
Ham Cheese Fresh Melt,520 ,29 ,10 ,1 ,75 ,940 ,38 ,2 ,5 ,29 ,Fastfood
Hash Brown,140 ,7 ,3 ,0 ,1 ,275 ,16 ,0 ,0 ,2 ,Fastfood
Hearty Italian,210 ,3 ,1 ,0 ,0 ,340 ,40 ,2 ,3 ,7 ,Fastfood
Herb Mayonnaise,90 ,10 ,1 ,0 ,10 ,140 ,0 ,0 ,0 ,0 ,Fastfood
Honest Kids Apple Juice,40 ,0 ,0 ,0 ,0 ,0 ,10 ,0 ,9 ,0 ,Fastfood
Honey Mustard,20 ,0 ,0 ,0 ,0 ,80 ,4 ,0 ,4 ,0 ,Fastfood
Honey Mustard,180 ,19 ,3 ,0 ,15 ,230 ,4 ,0 ,4 ,1 ,Fastfood
Hot Cake with maple syrup,433 ,14 ,7 ,0 ,28 ,616 ,68 ,26 ,0 ,9 ,Fastfood
Hot Chocolate,239 ,8 ,5 ,0 ,22 ,167 ,37 ,30 ,0 ,7 ,Beverages
Hot Chocolate (L),383 ,13 ,9 ,0 ,37 ,273 ,58 ,48 ,0 ,11 ,Fastfood
Hot Chocolate (R),297 ,9 ,6 ,0 ,25 ,207 ,48 ,39 ,0 ,8 ,Fastfood
Hot Chocolate (S),239 ,8 ,5 ,0 ,22 ,167 ,37 ,30 ,0 ,7 ,Fastfood
Hot Dog,350 ,22 ,10 ,0 ,50 ,800 ,25 ,0 ,6 ,16 ,Meat
Hot Dog,350 ,22 ,10 ,0 ,50 ,800 ,25 ,0 ,6 ,16 ,Fastfood
Hot Ones Bacon Cheese Fries,1020 ,71 ,23 ,0 ,145 ,1830 ,70 ,2 ,2 ,25 ,Fastfood
"Hot Ones Burger, Double",860 ,56 ,23 ,2 ,205 ,2210 ,25 ,0 ,5 ,61 ,Fastfood
"Hot Ones Burger, Single",590 ,38 ,14 ,1 ,120 ,1400 ,25 ,0 ,5 ,37 ,Fastfood
Hot Ones Cheese Fries,890 ,62 ,20 ,0 ,120 ,1270 ,70 ,2 ,2 ,13 ,Fastfood
Hot Ones Chicken,680 ,41 ,13 ,0 ,145 ,1360 ,34 ,0 ,6 ,44 ,Fastfood
Iced Americano,151 ,4 ,3 ,0 ,10 ,63 ,26 ,22 ,0 ,4 ,Fastfood
Iced Coffee,185 ,4 ,3 ,0 ,12 ,78 ,32 ,27 ,0 ,4 ,Fastfood
Italian,180 ,2 ,0 ,0 ,0 ,310 ,34 ,1 ,3 ,6 ,Fastfood
Italian B.M.T,380 ,17 ,6 ,0 ,50 ,1100 ,40 ,3 ,5 ,19 ,Fastfood
Italian B.M.T. ®,680 ,37 ,14 ,0 ,105 ,2310 ,57 ,4 ,4 ,32 ,Fastfood
Italian B.M.T. ®,240 ,15 ,6 ,0 ,50 ,870 ,12 ,4 ,5 ,14 ,Fastfood
Italian B.M.T.®,410 ,29 ,11 ,0 ,105 ,1650 ,13 ,3 ,5 ,25 ,Fastfood
Italian Herbs & Cheese,220 ,5 ,2 ,0 ,10 ,500 ,37 ,2 ,3 ,8 ,Fastfood
Jalapeño Cheese,210 ,5 ,2 ,0 ,10 ,420 ,35 ,2 ,3 ,8 ,Fastfood
Jalapeños,0 ,0 ,0 ,0 ,0 ,70 ,0 ,0 ,0 ,0 ,Fastfood
Janpanese noodles,356 ,1 ,0 ,0 ,0 ,1840 ,74 ,2 ,4 ,11 ,Fastfood
juice,47 ,0 ,0 ,0 ,0 ,8 ,12 ,11 ,0 ,0 ,Beverages
kung pao chicken,258 ,13 ,3 ,0 ,52 ,804 ,14 ,6 ,3 ,20 ,Meat
L1 Coffee,7 ,0 ,0 ,0 ,0 ,0 ,2 ,0 ,0 ,0 ,Fastfood
L1 Coffee with milk,36 ,2 ,1 ,0 ,6 ,14 ,2 ,3 ,0 ,1 ,Fastfood
Large Coca-Cola,217 ,0 ,0 ,0 ,0 ,42 ,54 ,54 ,0 ,0 ,Fastfood
Large Fanta Oragne,257 ,0 ,0 ,0 ,0 ,110 ,64 ,64 ,0 ,0 ,Fastfood
