Food_items,Calories,Total fat (g),Sat Fat (g),Trans fat (g),Cholesterols (mg),Sodium (mg),Carbohydrate (g),Sugars (g),Fiber(g),Protein (g),Category
Tomato Basil Wrap,290 ,8 ,4 ,0 ,0 ,730 ,49 ,2 ,1 ,8 ,Fastfood
Tomato juice,50 ,0 ,0 ,0 ,1 ,0 ,10 ,1 ,5 ,2 ,Beverages
Tomato Ketchup Sachets,11 ,23 ,0 ,0 ,0 ,71 ,3 ,2 ,0 ,0 ,Fastfood
Tomatoes,5 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,1 ,0 ,Fastfood
Tuna,450 ,25 ,5 ,0 ,40 ,610 ,38 ,2 ,5 ,19 ,Fastfood
Tuna,450 ,25 ,5 ,0 ,40 ,610 ,38 ,2 ,5 ,19 ,Fastfood
Tuna,820 ,54 ,11 ,1 ,75 ,1330 ,53 ,3 ,3 ,33 ,Fastfood
Tuna,550 ,47 ,8 ,1 ,75 ,660 ,8 ,3 ,4 ,26 ,Fastfood
Tuna,310 ,24 ,4 ,0 ,40 ,370 ,10 ,4 ,5 ,15 ,Fastfood
Tuna Fresh Melt,600 ,37 ,11 ,1 ,75 ,1010 ,36 ,2 ,3 ,30 ,Fastfood
Tuna Fresh Melt,600 ,37 ,11 ,1 ,75 ,1010 ,36 ,2 ,3 ,30 ,Fastfood
Turkey  Bacon,330 ,9 ,3 ,0 ,45 ,1050 ,40 ,2 ,6 ,24 ,Fastfood
Turkey  Bacon Guacamole,780 ,27 ,6 ,0 ,90 ,2280 ,87 ,9 ,12 ,49 ,Fastfood
Turkey & bacon,310 ,13 ,4 ,0 ,90 ,1530 ,12 ,3 ,6 ,36 ,Fastfood
Turkey & Bacon,190 ,7 ,2 ,0 ,45 ,810 ,12 ,4 ,6 ,20 ,Fastfood
Turkey & Bacon Avocado Wrap,750 ,36 ,11 ,0 ,105 ,2460 ,60 ,5 ,5 ,47 ,Fastfood
Turkey & Bacon Guacamole,420 ,23 ,6 ,0 ,90 ,1720 ,19 ,7 ,7 ,37 ,Fastfood
Turkey & Bacon with Avocado Salad,610 ,36 ,7 ,0 ,90 ,1620 ,36 ,16 ,12 ,44 ,Fastfood
Turkey Apple Signature Wrap,720 ,32 ,11 ,0 ,105 ,2450 ,63 ,5 ,10 ,47 ,Fastfood
Turkey Breast,250 ,3 ,1 ,0 ,30 ,730 ,41 ,5 ,7 ,20 ,Fastfood
Turkey Breast,440 ,9 ,4 ,0 ,55 ,1770 ,55 ,3 ,4 ,33 ,Fastfood
Turkey Breast,160 ,2 ,0 ,0 ,55 ,1030 ,11 ,3 ,5 ,25 ,Fastfood
Turkey Breast,110 ,2 ,0 ,0 ,30 ,560 ,11 ,4 ,5 ,14 ,Fastfood
Turkey Breast & Black Forest Ham,170 ,4 ,1 ,0 ,55 ,1020 ,11 ,3 ,6 ,23 ,Fastfood
Turkey Breast Black Forest Ham,260 ,3 ,1 ,0 ,30 ,720 ,41 ,5 ,7 ,19 ,Fastfood
Turkey Italiano,510 ,37 ,16 ,1 ,130 ,1830 ,13 ,3 ,5 ,33 ,Fastfood
Turkey Italiano,230 ,15 ,5 ,0 ,50 ,870 ,12 ,4 ,5 ,15 ,Fastfood
Turkey Reuben,430 ,13 ,4 ,0 ,75 ,1660 ,41 ,6 ,8 ,35 ,Fastfood
"Turkey, Bacon & Avocado",370 ,19 ,5 ,0 ,90 ,1530 ,15 ,5 ,6 ,37 ,Fastfood
"Turkey, Bacon & Guacamole",760 ,37 ,12 ,0 ,105 ,2560 ,61 ,6 ,6 ,47 ,Fastfood
Ultimate Meatball Marinara,720 ,45 ,19 ,2 ,80 ,1520 ,51 ,6 ,8 ,30 ,Fastfood
Ultimate Spicy Italian,730 ,52 ,21 ,1 ,105 ,1720 ,40 ,3 ,3 ,28 ,Fastfood
Vanilla Chocochips Muffin,329 ,15 ,7 ,0 ,79 ,255 ,40 ,30 ,0 ,4 ,Fastfood
Vanilla Shake,680 ,36 ,22 ,0 ,235 ,430 ,72 ,0 ,1 ,18 ,Beverages
Vanilla Shake,680 ,36 ,22 ,0 ,235 ,430 ,72 ,0 ,71 ,18 ,Fastfood
vanilla yogurt,86 ,1 ,1 ,0 ,5 ,66 ,14 ,5 ,0 ,5 ,Dairy products
Vedica Natural Mineral Water,0 ,0 ,0 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,Fastfood
Veg Maharaja Mac,833 ,38 ,17 ,0 ,36 ,1529 ,94 ,12 ,13 ,24 ,Fastfood
Veg McMuffin,309 ,12 ,7 ,0 ,25 ,805 ,39 ,3 ,0 ,10 ,Fastfood
Veg Pizza,298 ,14 ,0 ,0 ,0 ,692 ,30 ,3 ,2 ,12 ,Fastfood
Vegetable,80 ,2 ,2 ,0 ,0 ,2 ,14 ,0 ,15 ,4 ,Vegetables
Veggie Delite,50 ,1 ,0 ,0 ,0 ,75 ,9 ,4 ,5 ,3 ,Vegetables
Veggie Delite,190 ,2 ,1 ,0 ,0 ,240 ,39 ,5 ,6 ,9 ,Fastfood
Veggie Delite®,330 ,8 ,4 ,0 ,0 ,800 ,55 ,5 ,5 ,10 ,Fastfood
Veggie Delite®,50 ,1 ,0 ,0 ,0 ,75 ,9 ,4 ,5 ,3 ,Fastfood
Veggie Patty,330 ,11 ,2 ,0 ,0 ,1110 ,33 ,10 ,7 ,31 ,Fastfood
Veggie Shack,530 ,27 ,7 ,0 ,20 ,1250 ,56 ,6 ,10 ,16 ,Fastfood
"Veggie Shack, vegan",390 ,22 ,2 ,0 ,0 ,1130 ,50 ,6 ,8 ,6 ,Fastfood
"Veggie Shack, vegan, lettuce wrap",310 ,18 ,2 ,0 ,0 ,900 ,31 ,4 ,6 ,4 ,Fastfood
Whipped Cream,70 ,5 ,4 ,0 ,20 ,20 ,5 ,0 ,4 ,1 ,Fastfood
whole milk yogurt,160 ,2 ,1 ,0 ,9 ,123 ,26 ,10 ,2 ,9 ,Dairy products
whole-wheat-bread,102 ,1 ,0 ,0 ,0 ,0 ,20 ,0 ,0 ,4 ,Fastfood
Yellow Mustard,10 ,1 ,0 ,0 ,0 ,170 ,1 ,0 ,0 ,0 ,Fastfood
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",99 ,1 ,1 ,0 ,5 ,53 ,19 ,19 ,0 ,4 ,Dairy products
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",63 ,1 ,1 ,0 ,6 ,70 ,7 ,7 ,0 ,5 ,Dairy products
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",56 ,0 ,0 ,0 ,2 ,77 ,8 ,8 ,0 ,6 ,Dairy products
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",61 ,3 ,2 ,0 ,13 ,46 ,5 ,5 ,0 ,3 ,Dairy products
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",85 ,1 ,1 ,0 ,5 ,66 ,14 ,14 ,0 ,5 ,Dairy products
‘Shroom Burger,510 ,27 ,10 ,1 ,45 ,670 ,49 ,0 ,7 ,18 ,Fastfood
